Ranking 2022;Año;Ranking 2021;Expediente;Nombre;Tipo;RAMA;CIIU;DETALLE;Region;Provincia;Ciudad;Tamaño;Sector;Cant. Empleados;"Activo
2022";"Patrimonio
2022";"Ingreso por ventas
2022";"Utilidad antes del impuesto
2022";"Utilidad del ejercicio
2022";"Utilidad neta
2022";"IR causado
2022";"Ingreso Total
2022";;
3270;2022;3561;48954;ECUASISTENCIA, COMPANIA DE ASISTENCIA DEL ECUADOR S.A.;ANÓNIMA;H;H5221.03;ACTIVIDADES DE REMOLQUE Y ASISTENCIA EN CARRETERAS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;129;6310789,75;-363748,74;14746536,48;-1168642,22;-1168642,22;-1024854,91;0;14746536,48;;
3271;2022;3802;114229;EQUINSA EQUIPOS E INSUMOS S.A.;ANÓNIMA;C;C2100.05;FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS PARA USO VETERINARIO, SEAN GENÉRICOS O DE MARCA REGISTRADA, DE VENTA AL PÚBLICO EN GENERAL O REGLAMENTADA POR LAS AUTORIDADES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;25;6310176,46;2178336,64;8611723,37;1157381,47;1361625,26;862834,99;294546,48;8611723,37;;
3272;2022;3310;159607;TERMOPACK GONZALEZ ESCOBAR CIA. LTDA.;RESPONSABILIDAD LIMITADA;C;C2220.91;FABRICACIÓN DE ARTÍCULOS DE PLÁSTICO PARA EL ENVASADO DE PRODUCTOS: BOLSAS, SACOS, CAJONES, CAJAS, GARRAFONES, BOTELLAS, ETCÉTERA.;SIERRA;PICHINCHA                                         ;SANGOLQUÍ                                         ;GRANDE;SOCIETARIO;71;6307223,08;2837907,2;7299976,98;1756194,41;2081505,8;1303730,52;462399,89;7315371,71;;
3273;2022;2502;115851;INTERPETROLEUM S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;SAMBORONDÓN                                       ;PEQUEÑA;SOCIETARIO;4;6302266,86;1748780,69;896870,4;652054,83;652054,83;469275,52;182779,31;1263682,19;;
3274;2022;2245;164996;CRESAFE CIA. LTDA.;RESPONSABILIDAD LIMITADA;K;K6630.00;ACTIVIDADES DE PERSONAS, EMPRESAS Y OTRAS ENTIDADES QUE GESTIONAN CARTERAS Y FONDOS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO. SE INCLUYEN LAS SIGUIENTES ACTIVIDADES: GESTIÓN DE FONDOS DE PENSIONES, GESTIÓN DE FONDOS MUTUOS DE INVERSIÓN Y GESTIÓN DE OTROS FONDOS DE INVERSIÓN.;SIERRA;AZUAY                                             ;CUENCA                                            ;PEQUEÑA;SOCIETARIO;7;6301505,61;820482,9;425686,25;9416,75;11078,53;7233,12;1802,94;425686,25;;
3275;2022;3248;718450;EKOPARK-CINCO EKOPARKCINCO S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";SIERRA;PICHINCHA                                         ;QUITO                                             ;PEQUEÑA;SOCIETARIO;2;6296219,03;5905288,71;989574,89;0;702579,06;399079,84;133026,61;1160047,5;;
3276;2022;3214;30602;PREFABRICADOS DE CONCRETO TIGER C LTDA;RESPONSABILIDAD LIMITADA;C;C2395.01;FABRICACIÓN DE COMPONENTES ESTRUCTURALES Y MATERIALES PREFABRICADOS PARA OBRAS DE CONSTRUCCIÓN O DE INGENIERÍA CIVIL DE HORMIGÓN, CEMENTO, PIEDRA ARTIFICIAL O YESO: LOSETAS, LOSAS, BALDOSAS, LADRILLOS, BLOQUES, PLANCHAS, PANELES, LÁMINAS, TABLEROS, CAÑOS, TUBOS, POSTES, ETCÉTERA.;SIERRA;AZUAY                                             ;CUENCA                                            ;PEQUEÑA;SOCIETARIO;6;6291340,85;6178429,56;427411,04;46208,66;46208,66;46208,66;0;427411,04;;
3277;2022;3318;3115;DISTRIBUIDORA DE MATERIALES DE CONSTRUCCION DISMACONCOBRE CIA. LTDA.;RESPONSABILIDAD LIMITADA;G;G4663.21;"VENTA AL POR MAYOR DE ARTÍCULOS DE FERRETERÍAS Y CERRADURAS: MARTILLOS, SIERRAS, DESTORNILLADORES, Y OTRAS HERRAMIENTAS DE MANO, ACCESORIOS Y DISPOSITIVOS; CAJAS FUERTES, EXTINTORES.";SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;22;6288955,03;5016889,82;5954411,61;619244,05;744904,94;452087,17;167156,89;5970794,14;;
3278;2022;3271;111185;RECICLAJES INTERNACIONALES RECYNTER S.A.;ANÓNIMA;E;E3830.01;"ACTIVIDADES DE PROCESAMIENTO DE DESPERDICIOS Y DESECHOS METÁLICOS Y NO METÁLICOS Y DE OTROS ARTÍCULOS PARA CONVERTIRLOS EN MATERIAS PRIMAS SECUNDARIAS, NORMALMENTE MEDIANTE UN PROCESO DE TRANSFORMACIÓN MECÁNICO O QUÍMICO; RECUPERACIÓN DE MATERIALES DE CORRIENTES DE DESECHOS: SEPARACIÓN Y CLASIFICACIÓN DE MATERIALES RECUPERABLES DE CORRIENTES DE DESECHOS NO PELIGROSOS (BASURA); SEPARACIÓN Y CLASIFICACIÓN EN CATEGORÍAS DISTINTAS DE MATERIALES RECUPERABLES MEZCLADOS COMO: PAPEL, PLÁSTICOS, LATAS DE BEBIDAS USADAS, Y METALES. ENTRE LOS PROCESOS DE TRANSFORMACIÓN MECÁNICA O QUÍMICA QUE SE REALIZAN SE CUENTAN LOS SIGUIENTES: APLASTAMIENTO MECÁNICO DE DESPERDICIOS METÁLICOS, COMO: AUTOMÓVILES USADOS, LAVADORAS USADAS, BICICLETAS USADAS, ETCÉTERA, PARA SU POSTERIOR CLASIFICACIÓN Y SEPARACIÓN; DESGUACE DE AUTOMÓVILES, BUQUES, COMPUTADORAS, APARATOS DE TELEVISIÓN Y OTROS EQUIPOS PARA LA RECUPERACIÓN DE MATERIALES; REDUCCIÓN MECÁNICA DE GRANDES VOLÚMENES DE METAL, COMO VAGONES DE FERROCARRIL; TRITURACIÓN DE DESECHOS DE METAL, VEHÍCULOS DESECHADOS, ETCÉTERA; OTROS MÉTODOS DE TRATAMIENTO MECÁNICO, COMO EL CORTE Y EL PRENSADO PARA REDUCIR EL VOLUMEN.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;50;6286358,26;2545693,13;6677067,35;632063,73;743604,39;419443,95;212619,78;6677067,35;;
3279;2022;4854;179567;KULTERRA S. A.;ANÓNIMA;A;A0220.02;PRODUCCIÓN DE MADERA EN BRUTO (ROLLOS) UTILIZADA EN FORMA NO PROCESADA COMO PUNTALES, ESTACAS, CERCAS, ETCÉTERA.;COSTA;GUAYAS                                            ;SAMBORONDÓN                                       ;PEQUEÑA;SOCIETARIO;29;6285665,71;1586399,42;204181,82;0;-79273,74;-81250,58;0;204181,82;;
3280;2022;4865;54531;DAVILA Y CURILLO EXPORTACIONES E IMPORTACIONES CIA. LTDA.;RESPONSABILIDAD LIMITADA;G;G4610.09;INTERMEDIARIOS DEL COMERCIO DE PRODUCTOS DIVERSOS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;38;6282612,28;651082,89;1387253,9;0;92857,51;53495,15;25433,73;3208142,13;;
3281;2022;3492;151482;BETAPHARMA S.A.;ANÓNIMA;C;C2100.01;FABRICACIÓN DE SUSTANCIAS MEDICINALES ACTIVAS QUE SE UTILIZAN POR SUS PROPIEDADES FARMACOLÓGICAS EN LA FABRICACIÓN DE MEDICAMENTOS: ANTIBIÓTICOS, VITAMINAS BÁSICAS, ÁCIDO SALICÍLICO Y ACETILSALICÍLICO, ETCÉTERA, TRATAMIENTO DE LA SANGRE, FABRICACIÓN DE MEDICAMENTOS: ANTISUEROS Y OTRAS FRACCIONES DE SANGRE, AZÚCARES QUÍMICAMENTE PUROS, PRODUCTOS Y EXTRACTOS ENDOCRINOS,  VACUNAS. INCLUIDOS PREPARADOS HOMEOPÁTICOS, FABRICACIÓN Y PROCESAMIENTO DE GLÁNDULAS Y EXTRACTOS GLANDULARES, FABRICACIÓN DE PRODUCTOS QUÍMICOS ANTICONCEPTIVOS DE USO EXTERNO Y DE MEDICAMENTOS ANTICONCEPTIVOS HORMONALES, FABRICACIÓN DE PREPARADOS PARA EL DIAGNÓSTICO MÉDICO, INCLUIDAS PRUEBAS DE EMBARAZO, ETCÉTERA.;SIERRA;PICHINCHA                                         ;POMASQUI                                          ;MEDIANA;SOCIETARIO;37;6282392,39;3171455,67;3376783,4;287630,95;455953,63;83594,56;71907,74;3377839,4;;
3282;2022;3412;35859;CEJARDEPA S.A.;ANÓNIMA;S;S9603.01;"ACTIVIDADES DE SEPULTURA E INCINERACIÓN DE CADÁVERES HUMANOS O ANIMALES Y ACTIVIDADES CONEXAS: PREPARACIÓN DE LOS DESPOJOS PARA SU INHUMACIÓN O CREMACIÓN Y SERVICIOS DE EMBALSAMIENTO Y OTROS SERVICIOS DE POMPAS FÚNEBRES; PRESTACIÓN DE SERVICIOS DE INHUMACIÓN Y CREMACIÓN, ALQUILER DE LOCALES ESPECIALES EN FUNERARIAS.";COSTA;ESMERALDAS                                        ;ESMERALDAS                                        ;MEDIANA;SOCIETARIO;34;6279506,38;1359218,17;1196408,29;50761,58;64052,83;37805,77;8755,17;1200741,61;;
3283;2022;3068;16452;INDUSTRIA DE ACCESORIOS Y PARTES DE AUTOMOTORES INDIMA S.A.;ANÓNIMA;G;G4530.00;VENTA DE TODO TIPO DE PARTES, COMPONENTES, SUMINISTROS, HERRAMIENTAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES COMO: NEUMÁTICOS (LLANTAS), CÁMARAS DE AIRE PARA NEUMÁTICOS (TUBOS). INCLUYE BUJÍAS, BATERÍAS, EQUIPO DE ILUMINACIÓN PARTES Y PIEZAS ELÉCTRICAS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;77;6279143,09;1193236,15;5404864,33;133766,79;218378;126124,5;27890,32;5432388,61;;
3284;2022;3002;707221;FACTORPLUS S.A.;ANÓNIMA;N;N8291.01;ACTIVIDADES DE COBRO DE CANTIDADES ADEUDADAS Y ENTREGA DE ESOS FONDOS A LOS CLIENTES, COMO SERVICIOS DE COBRO DE DEUDAS O FACTURAS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;9;6278061,05;1133246,16;2766386,35;0;283978,1;129794,09;112300,32;2766386,35;;
3285;2022;6973;118008;MAXPLOT S.A.;ANÓNIMA;F;F4100.10;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES, EDIFICIOS MULTIFAMILIARES, INCLUSO EDIFICIOS DE ALTURAS ELEVADAS, VIVIENDAS PARA ANCIANATOS, CASAS PARA BENEFICENCIA, ORFANATOS, CÁRCELES, CUARTELES, CONVENTOS, CASAS RELIGIOSAS. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;106;6271930,06;467231,1;5732021,53;76011,84;140417,57;48553,13;27458,71;5783013,4;;
3286;2022;2978;48216;MAXIAUTO S.A.;ANÓNIMA;G;G4530.00;VENTA DE TODO TIPO DE PARTES, COMPONENTES, SUMINISTROS, HERRAMIENTAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES COMO: NEUMÁTICOS (LLANTAS), CÁMARAS DE AIRE PARA NEUMÁTICOS (TUBOS). INCLUYE BUJÍAS, BATERÍAS, EQUIPO DE ILUMINACIÓN PARTES Y PIEZAS ELÉCTRICAS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;70;6269805,35;2313855,9;9661291,54;-199524,87;256769,52;126294,42;104744,21;9683325,92;;
3287;2022;3406;89186;AVICOLA ARGENTINA ARGEAV CIA. LTDA;RESPONSABILIDAD LIMITADA;A;A0146.01;EXPLOTACIÓN DE CRIADEROS DE POLLOS Y REPRODUCCIÓN DE AVES DE CORRAL, POLLOS Y GALLINAS (AVES DE LA ESPECIE GALLUS DOMESTICUS).;SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;70;6265471,46;1492228,88;2983225,61;-106687,66;-96486,7;-106687,66;0;2993426,57;;
3288;2022;3518;85504;JUSTICECOMPANY TECNICA INDUSTRIAL S.A.;ANÓNIMA;D;D3510.03;ACTIVIDADES DE AGENTES DE ENERGÍA ELÉCTRICA QUE ORGANIZA LA VENTA DE ELECTRICIDAD VÍA SISTEMAS DE DISTRIBUCIÓN DE ENERGÍA OPERADOS POR OTROS. GESTIÓN DE INTERCAMBIADORES ELÉCTRICOS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;51;6260496,93;2799333,17;4991622,54;0;-24867771,29;134849,05;0;4991622,54;;
3289;2022;3426;130996;TERRASKY S.A.;ANÓNIMA;K;K6420.00;ACTIVIDADES DE SOCIEDADES DE CARTERA, ES DECIR, UNIDADES TENEDORAS DE ACTIVOS DE UN GRUPO DE EMPRESAS FILIALES (CON PARTICIPACIÓN DE CONTROL EN SU CAPITAL SOCIAL) Y CUYA ACTIVIDAD PRINCIPAL CONSISTE EN LA PROPIEDAD DEL GRUPO. LAS SOCIEDADES DE CARTERA CLASIFICADAS EN ESTA CLASE NO SUMINISTRAN NINGÚN OTRO SERVICIO A LAS EMPRESAS PARTICIPADAS, ES DECIR, NO ADMINISTRAN NI GESTIONAN OTRAS UNIDADES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;4;6259843,82;4006047,05;1572056,93;1566230,12;1566230,12;1563715,56;2514,56;1572056,93;;
3290;2022;5713;324092;NOBIS FRUIT COMPANY NOBISFRUIT S.A.S.;SOCIEDAD POR ACCIONES SIMPLIFICADA;G;G4610.01;INTERMEDIARIOS DEL COMERCIO DE MATERIAS PRIMAS AGRARIAS, ANIMALES VIVOS, MATERIAS PRIMAS TEXTILES Y PRODUCTOS SEMIELABORADOS.;COSTA;GUAYAS                                            ;SAMBORONDÓN                                       ;MICROEMPRESA;SOCIETARIO;44;6256284,43;4937535,09;71283,19;0;71283,19;-562195,15;0;71283,19;;
3291;2022;3124;69016;BORFINSA S.A.;ANÓNIMA;A;A0150.00;EXPLOTACIÓN MIXTA DE CULTIVOS Y ANIMALES SIN ESPECIALIZACIÓN EN NINGUNA DE LAS ACTIVIDADES. EL TAMAÑO DEL CONJUNTO DE LA EXPLOTACIÓN AGRÍCOLA NO ES UN FACTOR DETERMINANTE. SI EL CULTIVO DE PRODUCTOS AGRÍCOLAS O LA CRÍA DE ANIMALES REPRESENTAN EN UNA UNIDAD DETERMINADA UNA PROPORCIÓN IGUAL O SUPERIOR AL 66% DE LOS MÁRGENES BRUTOS CORRIENTES, LA ACTIVIDAD MIXTA NO DEBE CLASIFICARSE EN ESTA CLASE, SINO ENTRE LOS CULTIVOS O LAS ACTIVIDADES DE CRÍA DE ANIMALES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;PEQUEÑA;SOCIETARIO;2;6254842,43;4878287,49;330230;-152238,65;-152238,65;-157693,67;5455,02;330230;;
3292;2022;3289;69936;FERRIBAN S.A.;ANÓNIMA;M;M7020.04;PRESTACIÓN DE ASESORAMIENTO Y AYUDA A LAS EMPRESAS Y LAS ADMINISTRACIONES PÚBLICAS EN MATERIA DE PLANIFICACIÓN, ORGANIZACIÓN, EFICIENCIA Y CONTROL, INFORMACIÓN ADMINISTRATIVA, ETCÉTERA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;PEQUEÑA;SOCIETARIO;2;6254036,61;5908836,32;142429,1;166650,59;166650,59;147517,11;19133,48;211265,4;;
3293;2022;3234;106955;AGROVICOL S.A.;ANÓNIMA;G;G4630.11;VENTA AL POR MAYOR DE BANANO Y PLÁTANO.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;PEQUEÑA;SOCIETARIO;2;6252998,43;5821584,46;212768,8;123542,51;123542,51;123542,51;0;212768,8;;
3294;2022;6733;117886;TRINA S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;PEQUEÑA;SOCIETARIO;7;6252592,18;5865748,66;126924,84;2453,07;2875,36;1866,59;586,48;126924,84;;
3295;2022;2476;714311;SELINA OPERATION QUITO SELINAQUITO S.A.;ANÓNIMA;I;I5510.01;SERVICIOS DE ALOJAMIENTO PRESTADOS POR HOTELES, HOTELES DE SUITES, APART HOTELES, COMPLEJOS TURÍSTICOS, HOSTERÍAS.;COSTA;MANABI                                            ;MANTA                                             ;PEQUEÑA;SOCIETARIO;77;6252208,2;-2754645,4;763698,22;-345194,74;-345194,74;-345194,74;0;1926989,07;;
3296;2022;4044;1033;SOCIEDAD ANONIMA INMOBILIARIA LA Y;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";SIERRA;PICHINCHA                                         ;QUITO                                             ;MICROEMPRESA;SOCIETARIO;2;6251705,91;2818338,63;80106,89;-155926,82;-292358,01;-155926,82;0;80106,89;;
3297;2022;3290;54058;GRUENTEC CIA. LTDA.;RESPONSABILIDAD LIMITADA;Q;Q8690.22;ACTIVIDADES DE LABORATORIOS CLÍNICOS DE ANÁLISIS DE SANGRE, ORINA, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;125;6245980,73;3290967,47;6979248,76;1455653,35;1713788,68;1076694,67;378958,69;6980504,09;;
3298;2022;3139;172309;SANCECI CIA. LTDA.;RESPONSABILIDAD LIMITADA;H;H5210.00;ACTIVIDADES DE ALMACENAMIENTO Y DEPÓSITO PARA TODO TIPO DE PRODUCTOS: EXPLOTACIÓN DE SILOS DE GRANOS, ALMACENES PARA MERCANCÍAS DIVERSAS, CÁMARAS FRIGORÍFICAS, TANQUES DE ALMACENAMIENTO, ETCÉTERA. INCLUYE LA CONGELACIÓN POR CORRIENTE DE AIRE, ALMACENAMIENTO DE PRODUCTOS EN ZONAS FRANCAS.;SIERRA;AZUAY                                             ;CUENCA                                            ;GRANDE;SOCIETARIO;85;6242897,07;545323,38;12936794,95;60297,54;70938,28;33430,93;26866,61;12972094,63;;
3299;2022;4394;113996;MILYK S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;55;6237944,11;131777,69;1047151,22;0;-586607,57;-586607,57;0;1047151,22;;
3300;2022;1127;80691;CONSTRUCCIONES DRAGADO Y ARENA S.A CONDRAIARSA;ANÓNIMA;F;F4100.20;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS NO RESIDENCIALES: EDIFICIOS DE PRODUCCIÓN INDUSTRIAL, EJ. FÁBRICAS, TALLERES, PLANTAS DE ENSAMBLAJE, HOSPITALES, ESCUELAS, EDIFICIOS DE OFICINAS, HOTELES, ALMACENES, CENTROS COMERCIALES, BODEGAS, RESTAURANTES, OBSERVATORIOS, IGLESIAS, MUSEOS, AEROPORTUARIOS, PORTUARIOS Y EDIFICIOS DE ESTACIONES DE BUSES, TROLEBUSES, TREN, INCLUSO ESTACIONAMIENTOS SUBTERRÁNEOS, DE INSTALACIONES DEPORTIVAS INTERIORES TECHADAS ETCÉTERA. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;PEQUEÑA;SOCIETARIO;12;6237096,14;3710191,48;735298,26;5964,18;7016,68;4652,06;1312,12;735298,26;;
3301;2022;2929;64375;ALBRACONSTRUCTORES S.A.;ANÓNIMA;F;F4100.10;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES, EDIFICIOS MULTIFAMILIARES, INCLUSO EDIFICIOS DE ALTURAS ELEVADAS, VIVIENDAS PARA ANCIANATOS, CASAS PARA BENEFICENCIA, ORFANATOS, CÁRCELES, CUARTELES, CONVENTOS, CASAS RELIGIOSAS. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;11;6232696,66;1502047,3;6783919,5;1558460,69;6334232,01;1164754,19;788597,14;6783919,5;;
3302;2022;3661;181142;IMPOREXPOR EUROFERRO CIA.LTDA.;RESPONSABILIDAD LIMITADA;C;C3100.01;FABRICACIÓN DE MUEBLES DE MADERA Y SUS PARTES: PARA EL HOGAR, OFICINAS, TALLERES, HOTELES, RESTAURANTES, IGLESIAS, ESCUELAS, MUEBLES ESPECIALES PARA LOCALES COMERCIALES, MUEBLES PARA MÁQUINAS DE COSER, TELEVISIONES, ETCÉTERA.;SIERRA;AZUAY                                             ;CUENCA                                            ;GRANDE;SOCIETARIO;93;6231858,87;1439260,16;8103695,35;-194887,17;1299247,8;828107,18;278406,45;8103695,35;;
3303;2022;3259;60111;AEROAGRIPAC S.A.;ANÓNIMA;A;A0161.02;"ACTIVIDADES DE FUMIGACIÓN DE CULTIVOS, INCLUIDA LA FUMIGACIÓN AÉREA; TRATAMIENTO DE CULTIVOS, CONTROL DE PLAGAS (INCLUIDOS LOS CONEJOS); EN RELACIÓN CON LA AGRICULTURA.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;25;6231437,97;1787069,87;2710814,67;-209590,89;353765,66;-209590,55;0;3274171,22;;
3304;2022;3284;78997;MANDASACORP S.A.;ANÓNIMA;A;A0150.00;EXPLOTACIÓN MIXTA DE CULTIVOS Y ANIMALES SIN ESPECIALIZACIÓN EN NINGUNA DE LAS ACTIVIDADES. EL TAMAÑO DEL CONJUNTO DE LA EXPLOTACIÓN AGRÍCOLA NO ES UN FACTOR DETERMINANTE. SI EL CULTIVO DE PRODUCTOS AGRÍCOLAS O LA CRÍA DE ANIMALES REPRESENTAN EN UNA UNIDAD DETERMINADA UNA PROPORCIÓN IGUAL O SUPERIOR AL 66% DE LOS MÁRGENES BRUTOS CORRIENTES, LA ACTIVIDAD MIXTA NO DEBE CLASIFICARSE EN ESTA CLASE, SINO ENTRE LOS CULTIVOS O LAS ACTIVIDADES DE CRÍA DE ANIMALES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;37;6230868,59;3038476,86;3069559,23;0;-371780,25;-298613,14;0;3134581,61;;
3305;2022;2977;152951;DESARROLLO DE PROYECTOS INMOBILIARIOS ARQUITECH S.A.;ANÓNIMA;M;M7110.11;ACTIVIDADES DE ASESORAMIENTO TÉCNICO DE ARQUITECTURA EN DISEÑO DE EDIFICIOS Y DIBUJO DE PLANOS DE CONSTRUCCIÓN.;SIERRA;PICHINCHA                                         ;QUITO                                             ;PEQUEÑA;SOCIETARIO;5;6230063,65;2177976,26;916455,86;0;8819,24;-28944,18;35833,64;921368,21;;
3306;2022;2989;122314;ENTRETENIMIENTO DEL PACIFICO S.A. ENTREPASA;ANÓNIMA;J;J5913.00;ACTIVIDADES DE DISTRIBUCIÓN DE PELÍCULAS, CINTAS DE VÍDEO, DVD Y PRODUCTOS SIMILARES A CINES, CADENAS Y EMISORAS DE TELEVISIÓN Y EXHIBIDORES. SE INCLUYEN ADQUISICIÓN DE LOS DERECHOS DE DISTRIBUCIÓN DE PELÍCULAS, CINTAS DE VÍDEO Y DVD.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;PEQUEÑA;SOCIETARIO;12;6229271,13;5950313,4;987875,89;-813868,74;-813868,74;-813868,74;0;987878,5;;
3307;2022;3184;165142;HY-LINE ECUADOR S.A.;ANÓNIMA;G;G4630.31;VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS (INCLUIDAS LAS AVES DE CORRAL).;SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;41;6225248,75;1555913,17;3283917,62;-44098,39;-44098,39;-69517,74;27442,63;3373500,3;;
3308;2022;3160;141579;INGENIERIA Y ECONOMIA DEL TRANSPORTE S.M.E. M.P., S.A.;SUCURSAL  EXTRANJERA;M;M7490.29;OTROS TIPOS DE CONSULTORÍA TÉCNICA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;MICROEMPRESA;SOCIETARIO;3;6223959,42;-27432769,08;76813,54;-939384,33;-939384,33;-987532,04;48147,71;475522,66;;
3309;2022;3657;134021;YASLIN S.A.;ANÓNIMA;G;G4771.11;VENTA AL POR MENOR DE PRENDAS DE VESTIR Y PELETERÍA EN ESTABLECIMIENTOS ESPECIALIZADOS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;1;6220038,65;930740,17;8479105,14;449330,42;505243,41;317124,29;112332,61;8480006,24;;
